지역,차종,제조사,모델명,국비(만원),지방비(만원),보조금(만원),전환지원금국비(만원),전환지원금지방비(만원)
대구,일반승용,기아,EV9 롱레인지 2WD 20인치,268,80,348,54,16
대구,일반승용,기아,EV9 롱레인지 4WD 19인치,254,76,330,51,15
대구,일반승용,기아,EV9 롱레인지 4WD 21인치,260,78,338,52,16
대구,일반승용,기아,EV9 롱레인지 GTL 4WD 21인치,252,75,327,50,15
대구,일반승용,기아,EV9 스탠다드,237,71,308,47,14
대구,일반승용,기아,PV5 패신저 5인승 롱레인지,458,137,595,92,28
대구,일반승용,기아,Pv5 WAV(비용 미지원),648,194,842,100,30
대구,일반승용,기아,Pv5 WAV(비용 지원),448,134,582,90,27
대구,일반승용,기아,(단종)The all-new Kia Niro EV,489,146,635,98,29
대구,일반승용,기아,더뉴EV6 롱레인지 2WD 19인치,570,171,741,100,30
대구,일반승용,기아,더뉴EV6 롱레인지 2WD 20인치,559,167,726,100,30
대구,일반승용,기아,더뉴EV6 롱레인지 4WD 19인치,561,168,729,100,30
대구,일반승용,기아,더뉴EV6 롱레인지 4WD 20인치,532,159,691,100,30
대구,일반승용,기아,더뉴EV6 스탠다드,501,150,651,100,30
대구,경·소형,기아,레이 EV 2WD 14인치 1인승 밴,457,137,594,91,27
대구,경·소형,기아,레이 EV 2WD 14인치 2인승 밴,457,137,594,91,27
대구,경·소형,기아,레이 EV 2WD 14인치 4인승 승용,457,137,594,91,27
대구,일반승용,메르세데스벤츠코리아,EQA 250(Facelift),190,57,247,38,11
대구,일반승용,메르세데스벤츠코리아,EQB 300 4MATIC(Facelift),154,46,200,31,9
대구,일반승용,메르세데스벤츠코리아,EQB 300 4MATIC(Facelift)(CY25/2),162,48,210,32,10
대구,일반승용,볼보자동차코리아,볼보 EX30 Single Motor ER,247,74,321,49,15
대구,일반승용,볼보자동차코리아,볼보 EX30CC Twin Motor Perf,222,66,288,44,13
대구,일반승용,비와이디코리아,(단종)BYD ATTO 3,126,37,163,25,8
대구,일반승용,비와이디코리아,(단종)BYD DOLPHIN,109,32,141,22,7
대구,일반승용,비와이디코리아,(단종)BYD DOLPHIN Active,132,39,171,26,8
대구,일반승용,비와이디코리아,(단종)BYD SEAL,169,50,219,34,10
대구,일반승용,비와이디코리아,(단종)BYD SEAL Dynamic AWD,151,45,196,30,9
대구,일반승용,비와이디코리아,(단종)BYD SEALION 7,152,45,197,30,9
대구,일반승용,케이지모빌리티,토레스 EVX 18인치,354,106,460,71,21
대구,일반승용,케이지모빌리티,토레스 EVX 18인치(2026),361,108,469,72,22
대구,일반승용,케이지모빌리티,토레스 EVX 20인치,344,103,447,69,21
대구,일반승용,케이지모빌리티,토레스 EVX 20인치(2026),354,106,460,71,21
대구,일반승용,케이지모빌리티,(단종)토레스 EVX 2WD 18인치,327,98,425,65,20
대구,일반승용,케이지모빌리티,(단종)토레스 EVX 2WD 20인치,312,93,405,62,19
대구,일반승용,테슬라코리아,Model 3 Performance,200,60,260,40,12
대구,일반승용,테슬라코리아,Model 3 Premium Long Range RWD,420,126,546,84,25
대구,일반승용,테슬라코리아,Model 3 Premium Long Range RWD(5999만원),210,63,273,42,13
대구,일반승용,테슬라코리아,Model 3 RWD,168,50,218,34,10
대구,일반승용,테슬라코리아,Model 3 RWD(2025),168,50,218,34,10
대구,일반승용,테슬라코리아,Model Y L AWD,215,64,279,43,13
대구,일반승용,테슬라코리아,Model Y Long Range(2025),210,63,273,42,13
대구,일반승용,테슬라코리아,Model Y Premium Long Range,210,63,273,42,13
대구,일반승용,테슬라코리아,Model Y Premium RWD,170,51,221,34,10
대구,일반승용,테슬라코리아,Model Y RWD(2025),170,51,221,34,10
대구,일반승용,폭스바겐그룹코리아,ID.4 Pro,432,129,561,86,26
대구,일반승용,폭스바겐그룹코리아,Q4 45 e-tron,206,61,267,41,12
대구,일반승용,폭스바겐그룹코리아,Q4 Sportback 45 e-tron,206,61,267,41,12
대구,일반승용,폭스바겐그룹코리아,(단종)Q6 e-tron performance,220,66,286,44,13
대구,일반승용,폭스바겐그룹코리아,iD.5 Pro,473,141,614,95,29
대구,일반승용,폴스타오토모티브코리아,Polestar 4 Coupe Dual Motor,168,50,218,34,10
대구,일반승용,폴스타오토모티브코리아,Polestar 4 Coupe Rear Motor,181,54,235,36,11
대구,일반승용,현대자동차,ELECTRIFIED G80,270,81,351,54,16
대구,일반승용,현대자동차,ELECTRIFIED GV70 AWD 19인치,261,78,339,52,16
대구,일반승용,현대자동차,ELECTRIFIED GV70 AWD 20인치,245,73,318,49,15
대구,일반승용,현대자동차,GV60 스탠다드 2WD 19인치,285,85,370,57,17
대구,일반승용,현대자동차,GV60 스탠다드 AWD 19인치,272,81,353,54,16
대구,일반승용,현대자동차,GV60 스탠다드 AWD 20인치,261,78,339,52,16
대구,일반승용,현대자동차,더 뉴 아이오닉5 2WD 롱레인지 19인치,564,169,733,100,30
