지역,차종,제조사,모델명,국비(만원),지방비(만원),보조금(만원),전환지원금국비(만원),전환지원금지방비(만원)
부산,일반승용,폴스타오토모티브코리아,Polestar 4 Coupe Dual Motor,168,50,218,34,10
부산,일반승용,폴스타오토모티브코리아,Polestar 4 Coupe Rear Motor,181,54,235,36,11
부산,일반승용,현대자동차,ELECTRIFIED G80,270,111,381,54,16
부산,일반승용,현대자동차,ELECTRIFIED GV70 AWD 19인치,261,108,369,52,16
부산,일반승용,현대자동차,ELECTRIFIED GV70 AWD 20인치,245,103,348,49,15
부산,일반승용,현대자동차,GV60 스탠다드 2WD 19인치,285,115,400,57,17
부산,일반승용,현대자동차,GV60 스탠다드 AWD 19인치,272,111,383,54,16
부산,일반승용,현대자동차,GV60 스탠다드 AWD 20인치,261,108,369,52,16
부산,일반승용,현대자동차,더 뉴 아이오닉5 2WD 롱레인지 19인치,564,199,763,100,30
부산,일반승용,현대자동차,더 뉴 아이오닉5 2WD 롱레인지 19인치 빌트인 캠 미적용,567,200,767,100,30
부산,일반승용,현대자동차,더 뉴 아이오닉5 2WD 롱레인지 20인치,559,197,756,100,30
부산,일반승용,현대자동차,더 뉴 아이오닉5 2WD 롱레인지 N라인 20인치,541,192,733,100,30
부산,일반승용,현대자동차,더 뉴 아이오닉5 2WD 스탠다드 19인치,483,174,657,97,29
부산,일반승용,현대자동차,더 뉴 아이오닉5 AWD 롱레인지 19인치,558,197,755,100,30
부산,일반승용,현대자동차,더 뉴 아이오닉5 AWD 롱레인지 20인치,532,189,721,100,30
부산,일반승용,현대자동차,더 뉴 아이오닉5 AWD 롱레인지 N라인 20인치,510,183,693,100,30
부산,일반승용,현대자동차,더 뉴 아이오닉6 2WD 롱레인지 18인치,570,201,771,100,30
부산,일반승용,현대자동차,더 뉴 아이오닉6 2WD 롱레인지 20인치,570,201,771,100,30
부산,일반승용,현대자동차,더 뉴 아이오닉6 2WD 롱레인지 N라인 20인치,570,201,771,100,30
부산,일반승용,현대자동차,더 뉴 아이오닉6 2WD 스탠다드 18인치,560,198,758,100,30
부산,일반승용,현대자동차,더 뉴 아이오닉6 AWD 롱레인지 18인치,570,201,771,100,30
부산,일반승용,현대자동차,더 뉴 아이오닉6 AWD 롱레인지 20인치,553,195,748,100,30
부산,일반승용,현대자동차,더 뉴 아이오닉6 AWD 롱레인지 N라인 20인치,537,191,728,100,30
부산,일반승용,현대자동차,스타리아 라운지 일렉트릭 7인승,229,68,297,46,14
부산,일반승용,현대자동차,스타리아 리무진 일렉트릭 6인승,229,68,297,46,14
부산,일반승용,현대자동차,아이오닉6 N,250,105,355,50,15
부산,일반승용,현대자동차,아이오닉9 성능형 AWD,272,111,383,54,16
부산,일반승용,현대자동차,아이오닉9 항속형 2WD,274,112,386,55,17
부산,일반승용,현대자동차,아이오닉9 항속형 AWD,271,111,382,54,16
부산,경·소형,현대자동차,캐스퍼 일렉트릭 기본형 15인치,490,147,637,98,29
부산,경·소형,현대자동차,캐스퍼 일렉트릭 크로스 17인치,487,146,633,97,29
부산,경·소형,현대자동차,캐스퍼 일렉트릭 항속형 15인치,490,147,637,98,29
부산,경·소형,현대자동차,캐스퍼 일렉트릭 항속형 17인치(라운지포함),490,147,637,98,29
부산,일반승용,현대자동차,코나 일렉트릭 2WD 롱레인지 17인치,514,184,698,100,30
부산,일반승용,현대자동차,코나 일렉트릭 2WD 롱레인지 17인치 빌트인 캠 미적용,514,184,698,100,30
부산,일반승용,현대자동차,코나 일렉트릭 2WD 롱레인지 19인치,459,167,626,92,28
부산,일반승용,현대자동차,코나 일렉트릭 2WD 스탠다드 17인치,437,161,598,87,26
대구,일반승용,BMW,MINI Aceman E,400,120,520,80,24
대구,일반승용,BMW,MINI Aceman SE,400,120,520,80,24
대구,일반승용,BMW,MINI Cooper SE,396,118,514,79,24
대구,일반승용,BMW,MINI Countryman E,217,65,282,43,13
대구,일반승용,BMW,MINI Countryman SE ALL4,203,60,263,41,12
대구,일반승용,BMW,MINI JCW Aceman E,197,59,256,39,12
대구,일반승용,BMW,MINI JCW E,191,57,248,38,11
대구,일반승용,BMW,i4 M60 LCI (71HD),233,69,302,47,14
대구,일반승용,BMW,i4 eDrive 40 LCI(21HD),244,73,317,49,15
대구,일반승용,BMW,i4 eDrive 40 LCI(61HD),256,76,332,51,15
대구,일반승용,BMW,i5 eDrive 40,262,78,340,52,16
대구,일반승용,BMW,iX1 eDrive20,212,63,275,42,13
대구,일반승용,BMW,iX1 eDrive20(11HM),235,70,305,47,14
대구,일반승용,BMW,iX1 xDrive30,192,57,249,38,11
대구,일반승용,BMW,iX2 eDrive20,214,64,278,43,13
대구,일반승용,BMW,iX2 eDrive20(71GN),239,71,310,48,14
대구,일반승용,BMW,iX3 50 xDrive,275,82,357,55,17
대구,일반승용,기아,EV3 GT,248,74,322,50,15
대구,일반승용,기아,EV3 롱레인지 2WD 17인치,555,166,721,100,30
대구,일반승용,기아,EV3 롱레인지 2WD 19인치,555,166,721,100,30
대구,일반승용,기아,EV3 롱레인지 4WD 19인치,539,161,700,100,30
대구,일반승용,기아,EV3 스탠다드 2WD,469,140,609,94,28
대구,일반승용,기아,EV4 GT,255,76,331,51,15
대구,일반승용,기아,EV4 롱레인지 2WD 17인치,555,166,721,100,30
대구,일반승용,기아,EV4 롱레인지 2WD 19인치,555,166,721,100,30
대구,일반승용,기아,EV4 롱레인지 4WD 19인치,554,166,720,100,30
대구,일반승용,기아,EV4 롱레인지 GTL 2WD 19인치,555,166,721,100,30
대구,일반승용,기아,EV4 스탠다드 2WD 17인치,512,153,665,100,30
대구,일반승용,기아,EV4 스탠다드 2WD 19인치,481,144,625,96,29
대구,일반승용,기아,EV5 GT,232,69,301,46,14
대구,일반승용,기아,EV5 롱레인지 2WD,552,165,717,100,30
대구,일반승용,기아,EV5 롱레인지 4WD 18인치,499,149,648,100,30
대구,일반승용,기아,EV5 롱레인지 4WD 19인치,493,147,640,99,30
대구,일반승용,기아,EV9 GT,245,73,318,49,15
대구,일반승용,기아,EV9 롱레인지 2WD 19인치,270,81,351,54,16
